_ds,row,sentence,word_count,char_count,comma_count,avg_word_len,has_I,has_we_our,modal_verb,opinion_verb,hedge,future_marker,conditional,subordinator,passive_voice,enumeration,pronoun_it_they,nominalization,question,imperative_start,fragment,proper_noun_density
K1,162,The survey was conducted by telephone June 6 through 9 among a representative sample of 800 registered voters who participated in the 1996 elections,24,148,0,4.833333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.041666666666666664
K1,163,The margin of error on these results is +/-4%.,9,46,0,3.5555555555555554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,164,Strong voter support for minimum wage coverage,7,46,0,5.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,165,The survey results reveal that American voters strongly believe that minimum wage laws and other basic legal workplace protections should apply to those in state workfare programs,27,179,0,5.666666666666667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035
K1,167,"AS you May know, Congress passed a law last year requiring able bodied welfare recipients to work in state workfare programs",21,124,1,4.904761904761905,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.09523809523809523
K1,169,"Fully 69% agree that workfare participants should be covered, while just 25% believe that states should not have to pay participants the minimum wage.",24,150,1,4.958333333333333,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0
K1,171,"The breadth of support for minimum wage coverage is also striking, including two-thirds of those with incomes over $50,000 (67%), professionals (67%), and white voters (67%)",26,173,4,4.6923076923076925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,172,Even college-educated men 71%) and Republican voters (62%) favor minimum wage coverage by large margins.,15,104,0,5.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667
K1,178,"Supporters of paying the minimurn wage to people in warkfare programs say that many employees who currently work at the minimum wage would lose their jobs if workfare participants could be forced to work for less, and also say that exernpting one group of workers from minimum wage protections opens the door to undermining the minimum wage for others (59% agree.)",61,364,1,4.868852459016393,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0
K1,179,"Opponents of paying the minimum wage to people in workfare programs say that the taxpayers would have to support higher welfare budgets if states are forced to pay the minimum wage, and also say that welfare recipients who want better pay should get off welfare and find a job on their own (21% agree.)",54,302,1,4.481481481481482,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.0
K1,181,Legal Immigrants: Thursday Vice President Event,6,47,0,6.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666
K1,186,Diana got a somewhat mysterious call from Ann Lewisâ€™ office last night inviting us to a meeting which I attended today,21,120,0,4.619047619047619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616
K1,210,"""WASHINGTON ~ Just beyond the unusual bipartisan harmony here over Federal welfare overhaul lies a more familiar â€˜Spectacle: one of political brawling over â€œhow that legislation will be implemented in â€œthe states""",32,219,0,5.46875,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0625
K1,211,"â€œIn Texas, state:officials fume that the *-Clinton administration has surrendered to â€™ pressure â€˜from labor unions in blocking administer welfare, food stamps and Medcaid'",24,177,2,5.791666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,214,"â€œItâ€™s a statement in favor of federalism,â€ says Douglas Besharov, a welfare â€˜scholar at the American Enterprise Institute",18,129,2,5.444444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222
K1,216,"But the lingering political hang-ups also mean that, nine months after President Clinton signed the federal law, a big chunk of the nationâ€™s welfare recipients ""Still don't know what their benefits or rules will be""",35,217,2,4.9714285714285715,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.05714285714285714
K1,218,"In California, Republican Gov Pete Wilson's plan would force new recipients to leave the rolls after one year and would require beneficiaries to participate in work activities as long as their children are at least 12 weeks old",38,227,1,4.894736842105263,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.07894736842105263
K1,219,"â€œWe have won the war of public opinionâ€ says Eloise Anderson, Mr Wilson's Social Services director.",16,103,1,4.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
K1,222,"In New York, Republican Gov George Pataki and the Democrats who control the State assembly are lockÃ©d in similar combat",20,120,1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35
K1,226,"The stalemate bewilders some of the politicians involved, not to mention the â€˜state's welfare recipients, â€œThere's a lot of misinformation and noninformation outâ€™ there,"" grouses Democratic Assemblyman Marty Luster of Ithaca, who says the GOP-led state senate has been â€œdeadly â€˜Silent on the issue, Meanwhile, adds fellow Democrat Jeffrion-Aubry of Queens, â€œWe are sitting on each side-of the fence hurling press releases.â€",62,437,7,5.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.08064516129032258
K1,227,"Irate over the Clinton administration's stance on privatization, Texas politicians are ready to hurl more than News releases Republicans in the state's congressional - delegation, threatening to push legislation permitting the state to proceedâ€™ with a "" privately run â€œintegrated enrollment"" system, have summoned White House Chief of Staff Erskine Bowles to â€˜a meeting on Capitol Hill this morning",59,404,3,5.576271186440678,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.2033898305084746
K1,229,Message Gets Muddled,3,20,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666
K1,238,"You were kind enough to mention the Summit of Service that President Bush, President Carter, Mrs Reagan, and General Powell and I and others sponsored in Philadelphia",27,166,3,5.074074074074074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2962962962962963
K1,240,We were able to reduce the welfare roils dramatically because of a growing economy and because of work we did with states before the passage of the welfare reform bill to help them move people from welfare to work.,39,214,0,4.487179487179487,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
K1,241,"Now, this welfare reform bill did two things",8,44,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,242,"It required people on welfare who are able-bodied to move from welfare to work within a certain amount of time, and it gave the states in a block grant funds that used to be spent in a federal entitlement so that they would have more flexibility to create incentives for people to move from welfare to work.",57,307,1,4.350877192982456,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0.0
K1,243,"Forty of our states now have a windfall there because they're getting money based on how much they got when the welfare rolls were at their peak, and there has been a 20 percent-plus drop in the welfare rolls in the last three years.",44,233,1,4.181818181818182,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
K1,245,"We moved a million people in the last four when we were creating 12 million jobs -- that had never been done before, the 12 million jobs",27,136,1,3.814814814814815,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
K1,246,Neither had the million people.,5,31,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,247,"Under the terms of this welfare reform law, whether we create 12 million jobs or not in the private sector, we have to move nearly another million people",28,153,2,4.357142857142857,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
K1,251,That was never what was intended,6,32,0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
K1,258,"Remember what the Philadelphia Summit was about: every child ought to have a safe place to grow up, decent health care, a good education and marketable skills, a mentor and the chance to serve.",34,193,3,4.5588235294117645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058823529411764705
K1,259,"And we live in a country where 11 percent of the prople over 65 are poor, but 20 percent-plus of the people under 18 are",25,120,1,3.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,263,We have five school districts in America today with kids from over 100 different racial and ethnic groups -- five,20,113,0,4.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
K1,264,We'll soon have 12.,4,19,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,265,"We have -- we all know this, but my Baptist minister from Arkansas came up to see me during the Inaugural and he told me he had a cousin who had a Baptist church across the river here in Virginia that now has a Korean mission and runs English as a second language classes out of the church",58,289,1,3.9482758620689653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1206896551724138
K1,268,REQUEST: Welfare to Work Conference hosted by the DLCâ€™s Progressive Policy Institute and the Welfare to Work Foundation.,18,122,0,5.555555555555555,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.4444444444444444
K1,270,"BACKGROUND: Although nearly all states have submitted plans for how they will move people from welfare to work under the new welfare law, most of the plans are â€œplaceholders.â€",29,179,1,4.896551724137931,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.034482758620689655
K1,273,PREVIOUS PARTICIPATION: I The President held a Welfare to Work event on May 20th in the East Room with companies pledging to hire from the welfare rolls.,27,153,0,4.555555555555555,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25925925925925924
K1,276,"LOCATION: Washington, DC",3,24,1,6.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,279,REMARKS REQUIRED: Yes.,3,22,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,280,MEDIA COVERAGE: Yes.,3,20,0,5.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,285,"Sponsors: Progressive Policy Institute, The Welfare to Work Foundation, and a conservative think tank (possibly American Enterprise Instilute or the Progress Freedom Foundation)",23,177,2,6.521739130434782,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0.43478260869565216
K1,288,"Although 47 states have submitted state plans under the new welfare law, most of the plans are ""placeholders""",18,109,1,4.833333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
K1,300,"Format: ""Round"" table",3,21,0,5.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,304,"Speakers will move in and out, while other participants remain at the main table",14,80,1,4.714285714285714,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
K1,305,Observers will be sitting outside the table area.,8,49,0,5.125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
K1,306,Topic 1: The Bridge to Work,6,27,0,3.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
K1,307,"The Role of the Welfare-to-Work System: The Labor Market Bridge for Entry Level Workers -- Readiness, Placement, and Retention Services (including housing and transportation) can provide the bridge lo work for many welfare recipients",34,233,2,5.617647058823529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29411764705882354
K1,311,"a) Public und Private Intermediaries Moderator: President Clinton / Amcrica Works --lâ€™eter Cove ( Indianapolis Competitive Model) STRIVE --New York instructor Oregon Jobs Plus Richard Schwartz New York City Worktare Model or Linda Stewart, Scerctary of the Department of Worktoree Development, WI Successful participant from Strive",46,333,2,5.956521739130435,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.5869565217391305
K1,313,"Gerald Greenwald, United Airlines Chairman and CEO ' Mitchell S Fromstein, Manpower Chief Execulive Officer Suceesstul participant trom a corporate-based program Discussion",22,172,2,6.681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453
K1,315,"Antonio Riley (State Rep, Wisconsin) rie Fingerhut ( Cleveland Federation tor Community Planning, former state Senator and Congressman, Ohio) Christopher Jencks (Harvard) Rebecca Blank: (Northwestern) Low-wage workers Discussion",28,228,3,6.714285714285714,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.35714285714285715
K1,316,Topic 3: Assessment/Monitoring,3,30,0,8.333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0
K1,320,"Tom Corbett -- University of Wisconsin, Institute for Poverty Research Claudia Coulton -- Case Western Reserve, Mandel School for Applied Social Research er National Academy of Sciences conference speakers Mark Greenberg -- Center for Law and Social Policy Discussion",39,267,2,5.666666666666667,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6153846153846154
K1,321,"Concluding remarks: Finishing the Job Wrap-up by Will Marshall, and others",11,74,1,5.545454545454546,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2727272727272727
K1,327,"The Education Excellence Partnership (EEP) is a coaltion of key education, business and governmental organizations that work together to educate the public about the neeed to raise academic standards",29,199,1,5.793103448275862,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.10344827586206896
K1,328,"The main vehicle for its work has been a public service campaign featuring TV and radio spots that attempt to build support for increased academic standards, and fulfillment materials that provide greater detail and additional information about ways to get involved in local school reforms",45,289,1,5.4222222222222225,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0
K1,329,"As part of its effort to strengthen this ad campaign, the EEP, led by the national Business Roundtable, has formed a new partnership with Major League Baseball",27,159,3,4.814814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14814814814814814
K1,330,The new PSAâ€™s will feature baseball players in their role as parents,12,70,0,4.666666666666667,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
K1,342,"Working singly and together the members of the EEP have made enormous strides in standards-based education reform since the initiation of our current efforts in 1989, duc in no small part to your efforts while governor of Arkansas and the momentum established by your administration",45,282,1,5.155555555555556,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0.022222222222222223
K1,348,The Officer Next Door initiative will give a 40% discount to public safety personnel who purchase HUD-owned homes in designated areas,21,133,0,5.190476190476191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14285714285714285
K1,349,"HUD has approximately 3,000 homes that it will make available for purchase as part of this one year program",19,107,1,4.421052631578948,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
K1,352,Los Angeles Mayor Riordan in partnership with Fannie Mae and Los Angeles Housing Department launched a similar program in March entitled â€œHomes for Peace Officers and Firefighters.â€,27,185,0,5.62962962962963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4444444444444444
K1,353,Welfare to Work Jobs Challenge,5,30,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
K1,354,The Jobs Challenge is designed to help States and cities move a million of the hardest-to-emplo welfare recipients into lasting jobs by the year 2000,25,149,0,4.76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.12
K1,355,It provides $3 billion in mandatory funding for job placement and job creation,13,78,0,4.923076923076923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
K1,356,States and cities can use these funds to provide subsidies and other incentives to private business,16,99,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,364,"Subtotal, Welfare to Work Totals may not add due to rounding.",11,61,1,4.454545454545454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727
K1,365,Benefits for Disabled Immigrants,4,32,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
K1,370,"The welfare reform law denies SSI and Medicaid to many legal immigrant children who become seriously ill, or have an accident and become disabled, and whose families fall on hard times",31,184,2,4.903225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903
K1,373,Extention for Refugees and Asylees,5,34,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
K1,374,The welfare bill exempted refugees and asylees from the benefit restrictions for their first five years in the country,19,118,0,5.2631578947368425,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
K1,376,"It would protect eligibility for about 17,000 refugees and asylees in FY 1998.",13,78,1,4.230769230769231,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0
K1,377,18-50's Work Requirement,3,24,0,5.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6666666666666666
K1,379,(2) Provides additional funds of $280 million total in FYs 97-02 to enable States to create work for people willing to work;,22,124,0,4.090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13636363636363635
K1,381,(4) Provides States with more authority to provide Food Stamps as wages.,12,72,0,4.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333
K1,382,Shelter Deduction,2,17,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
K1,386,The standard deduction is a general deduction given to all households,11,69,0,5.363636363636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,387,"The welfare bill froze it, no longer allowing it to index",11,57,1,4.181818181818182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
K1,389,Vehicle Asset Limit,3,19,0,5.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6666666666666666
K1,390,The welfare bill froze the Food Stamps vehicle asset limit (the maximum value of a car a household may own) which had previously been indexed,25,141,0,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.08
K1,394,Funds in 1999-2002 to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs,18,112,0,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,396,Funds in 1999-2002 to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs,18,112,0,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,400,"Funds for vouchers for training, job creation, and job placement to help long-term recipients in high unemployment/high poverty areas go to work and keep jobs",25,158,2,5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,402,"Funds in Title XX Social Services block grant, which states could use for work or child care,",17,93,2,4.411764705882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.17647058823529413
K1,412,Cost: $2.6 billion (Kohl),4,25,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,415,Cost: minimal.,2,14,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,422,"To date, Giant has hired 71 of 91 people interviewed (exceeding the normal hire rate of 1 in 4)",19,95,1,3.5789473684210527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842
K1,423,"In the four months since the program began, only 5 people have left (compared to Giant's typical attrition rate of 50%)",21,119,1,4.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
K1,424,"As soon as people enter Giant's training, they earn $6.60-$8.75 per hour (depending on the position) and receive full medical benefits within 30 days.",24,150,1,4.541666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
K1,425,"The company: Giant is based in Landover, MD and has 170 stores and 27,000 employees in the Washington Metro area",20,112,2,4.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.15
K1,426,"The company is partially owned by a British firm, J Sainsbury PLC, the leading food retailer in the UK",19,102,2,4.315789473684211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.10526315789473684
K1,427,"Their training program is a partnership between Giant, the Private Industry Council, and the local welfare office in Prince George's County",21,139,2,5.523809523809524,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19047619047619047
K1,430,POTUS has never visited or met with Giant training program executives,11,69,0,5.363636363636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091
K1,431,Last welfare to work event was in November in Wichita.,10,54,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
K1,436,Just had a lengthy and enlightening conversation with Cecilia Calvo at W2W Partnership,13,86,0,5.615384615384615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23076923076923078
K1,437,She is a weaith of information about what's going on in U.K,12,59,0,3.8333333333333335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,438,"re: welfare reform, having recently led a group of high level British officials on a tour to NY, Washington, St Louis and Milwaukee and spending several weeks in Britain learning about what they are doing",35,204,3,4.742857142857143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.14285714285714285
K1,440,The program targets unemployed youth who will be called in once they have received assistance for 6 months,18,106,0,4.888888888888889,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0
K1,441,"They will come into a job center, meet with a 'New Deal' advisor, get andassessment, and if determined job ready, go to work",23,124,4,4.173913043478261,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.0
K1,443,"This is largely andmalespopulation, not single parents",7,54,1,6.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
K1,461,Thanks.,1,7,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
K1,468,Benefits to the disabled are a large and rapidly growing component of welfare spending,14,86,0,5.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K1,469,"Proposals have been floated to cut benefits to the disabled, generating intense â€˜opposition from many in the Labour party.",19,124,1,5.315789473684211,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.05263157894736842
K1,470,"On December 10th, Parliament approved a cut in benefits for lone (single) parents",13,81,1,4.923076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15384615384615385
K1,473,"The proposal created a major revolt by Labour backbenchers, leading to several resignations, and 47 Labour MPs voting against the proposal",21,138,2,5.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
