<label>|<Sentence Text>|<Always deliberative>|<Non IIA>|<Sentiment>|<Subjectivity>
D0|In addition, the President is proposing $197 million in FY 99 for a series of initiatives to help states promote coerced abstinence and treatment: I) $85 million for a new drug testing, sanctions, and intervention program for states and local criminal justice systems; 2) $30 million for Drug Courts; 3) $4.7 million for the federal Operation Drug Test program; 4) $5 million for a juvenile justice demonstration program to combat teen drug use; and 5) $72 million to continue the Residential Substance Abuse Treatment in State Prisons program.|||0.637069702|6.68E-08
|||||
D0|Q.  The President's directive asks the Attorney General to work with states to increase their penalties for smuggling drugs into prisons.|||-0.95367825|0.000359467
D0|Are there tough penalties for trafficking drugs into federal prisons?|||-0.99308151|0.000693845
|||||
D0|A.      Yes.|||0.997355938|0.87137693
D0|The 1994 Omnibus Crime Act increased penalties for illegal drug use and smuggling drugs into Federal prisons.|||-0.759542346|1.52E-05
D0|for instance, drug trafficking in Federal prisons can now lead to imprisonment for up to 20 years for smuggling narcotics and methamphetamine, and up to 5 years for trafficking marijuana.|||-0.984182417|1.37E-09
|||||
D1|TEXT: Re: the possible race/service announcement in the current State of the Union draft, see the attached.|1||-0.989082456|0.058272857
D1|Are you guys in favor of trying to do something like this?|1||-0.999597609|0.8393576
D1|i.e., trying to line up some churches,etc. that would agree in advance to take up the President's challenge to organize service across racial lines?|1||-0.999242783|0.000889528
D1|It would be tough to organize something big in 2 weeks, but we could try -- Harris could help in reaching out to people.|1||0.988392532|0.7216347
|||||
D1|Or do you think this won't work, and you're trying to substitute the college mentoring initiative into that section of the speech?|1||-0.999548376|0.31563482
|||||
D1|I thought that what we were hoping was that a group of religious organizations would organize in a way that allowed the President to challenge (lightly) folks to participate and call their local branch of xyz synagogue or the branch of the National Council of churches.|1||-0.999927163|8.87E-07
D1|Do we think that something like that is possible|1||0.739883602|0.98979646
|||||
D1|The idea that we came up with was to see if we can't identify five religous organizations who will commit to a day of service to the community as a way of fostering racial reconciliations--something like that.|1||-0.992019475|0.11551394
D1|It's in the thinking stage and of course we should see how it intersects with the service summit- - ideas?|1||0.992384136|0.93648654
|||||
D1|Was there a discussion in a meeting on race this morning about the intersec tion between race and service, where it was agreed that your office would take some steps?|1||-0.907163084|0.051632855
D1|I got somewhat confused reporting on the meeting.|1||-0.99922049|0.9669912
D1|Steve and I have been integrally involved in service and in planning a service event for MLK day, and wanted to make sure we were in the loop .|1||0.998952985|0.000258625
|||||
D1|We did comment on the proposed language on needle exchange after consulting with both Chris Jennings and Kevin Thurm.|1||-0.730260015|0.04630698
D1|I will forward a copy of the memo to you.|1||-0.887789071|0.6716597
|||||
D1|I had a lengthy discussion with Kevin last week regarding this issue.|1||-0.809211075|0.14916764
D1|HHS does not plan to do anything on needle exchange until Satcher is confirmed, assuming that will happen in February.|1||-0.994041145|0.99774665
D1|If indeed the confirmation is held up for some reason,we will have to revisit the timing of any action.|1||-0.902624667|0.994766
|||||
D1|Contrary to what Scott Hitt may have told you, the AIDS community is still vehemently opposed to any law enforcement component in any compromise we might propose.|1||-0.994434178|0.99727386
D1|So are General Mccaffrey and I.|1||-0.808130145|0.42616662
D1|In fact, it may well be the only point upon which we agree on this issue.|1||-0.725655973|0.8412529
|||||
D0|Attached is the summary report of our January 6 meeting.|||0.716710269|0.000385785
|||||
D1|Attached is a revised schedule for Advisory Board activities through FY 1998.|||0.702763438|7.48E-05
D1|It reflects the discussion held on January 6.|1||0.667280316|0.13715258
D1|The schedule includes suggested topics for Advisory Board meetings.|1||0.850112379|0.007120869
D1|Some topics which may warrant Advisory Board attention are not included due to time constraints.|1||-0.940431416|0.079428256
D1|However, it may be worth exploring whether a way should be found to include these topics.|1||0.504309595|0.6550532
D1|Among these topics are access to health care, equal housing opportunities, and the meaning of being an American in the One America envisioned by the President.|||0.977479994|0.001002525
|||||
D1|There was considerable discussion at the meeting regarding products which will result from the work of the Advisory Board .|1||0.899995923|0.014663722
D1|A general consensus formed around six products, and they are outlined below.|1||0.989690542|0.0611202
D1|Other products related to Board meetings and Board member activity are being proposed and developed, and wc should have a separate meeting to discuss them.|1||-0.698448896|2.79E-07
|||||
D0|Products from Advisory Board|||0.995737433|2.85E-05
|||||
D1|l.      Advisory Letters to the President from Dr. John Hope Franklin on behalf of the President's Advisory Board: These letters would be prepared following each meeting of the Advisory Board.|1||0.778698862|9.66E-08
D1|The substance of these letters would be the provision of advice to the President on matters relating to the topic of the Advisory Board meeting.|1||-0.60080272|0.5843742
|||||
D1|Individual Board Members Feedback to the President:|||0.909933805|0.016834384
|||||
D1|Advisory Board members have been provided with standard forms on which to provide feedback to the Initiative following each activity in which they engage as an Advisory Board member.|1||0.995641232|0.001298592
D1|On a monthly basis each Board member will summarize (perhaps with staff assistance) such feedback, particularly as it relates to the identification of promising practices, the recruitment of leaders, and the fostering of dialogues, and provide it in written form to the President.|1||0.955437243|0.027192242
|||||
D1|The members of the Advisory Board will identify and recruit leaders who will continue to engage in racial reconciliation activities following the conclusion of the work of the Advisory Board.|1||0.99044764|6.08E-09
D1|For example, through the corporate outreach effort, Ilob Thomas will identify leaders in the corporate sector; through the religious outreach effort, Rev. Suzan Johnson Cook will identify leaders in the faith community;|1||0.998412132|0.000128735
D1|through activities with organizations of public officials, Governors Winter and Kean will identify leaders among public officials.|1||0.9951244|5.74E-06
D1|All Board members will be involved in the effort to identify and recruit leaders.|1||0.995429873|1.54E-06
D1|On the feedback form mentioned in item 2, Board members are encouraged to identify leaders in communities they visit.|1||0.979374588|0.000321547
|||||
D1|Through the use and distribution of One America Conversation Packets and the more comprehensive Race Dialogue How-To Kits, Advisory Board members will encourage dialogues in communities they visit.|1||0.99064225|0.000102709
D1|Among the issues which need to be resolved are ways in which to record these dialogues, receive feedback from them, measure their quantity and effectiveness , and obtain press attention for them.|1||0.997612238|0.19603899
D1|The Board, with staff assistance, will develop a written summary of efforts to promote and sustain dialogue.|1||0.978534579|0.000968479
|||||
D1|Advisory Board members , during their visits to various communities, will identify promising practices and report them to the Initiative staff.|1||0.994975448|3.56E-09
D1|Also, through regular communications with Initiative staff: Board members will receive reports of promising practices for inclusion in speeches as examples of how communities can work toward racial reconciliation.|1||0.968503952|1.75E-05
D1|One example could be a reference to Boston' s Team Harmony Project as something that could be replicated elsewhere.|1||-0.882825136|0.9630181
|||||
D1|Summaries of Advisory Board Meetings and Town Halls|||0.752850711|3.58E-06
|||||
D1|Following each Advisory Board meeting and Town Hall, Initiative staff will produce a detailed summary of the event, including information gathered, opinions expressed, conclusions  reached, and follow-up planned.|1||0.984581172|2.12E-07
D1|These summaries  will be transmitted  by Dr. Franklin  to the President in a timely fashion.|1||0.995615363|0.003342376
|||||
D0|OUTREACH SCHEDULE (revised l/8/98) PRESIDENT'S INITIATIVE ON RACE|||0.986786962|0.9903977
|||||
D0|January: 13-14 Advisory Board Meeting, Phoenix, AZ -- Employment 14  Workplace Diversity Forum, Phoenix, AZ 30  Corporate Executives Forum, Los Angeles, CA|||0.943633974|3.91E-05
|||||
D0|February: 10  Religious Leaders Forum, Newark, NJ 10-11 Advisory Board Meeting, Oakland/San Francisco, CA -- Race and Poverty TBD (week of 22nd)|||-0.881616175|3.03E-08
D0|Corporate Executives Forum, New York City|||0.994376957|0.022478636
|||||
D0|March : 3 or 4 TBD TBD TBD 24 24-25|||-0.995311737|0.06928975
|||||
D0|April: 22 22-23 TBD Advisory Board Town Hall Meeting, Atlanta, GA or Minneapolis, MN (week of 1st)|||-0.968348801|9.86E-09
D0|Religious Leaders Forum, Baltimore (week of 8th)|||0.692861438|8.84E-06
D0|Corporate Executives Forum, Chicago, IL or Cincinnati, OH (week of 15th)|||0.800078332|0.001525222
D0|Religious Leaders Forum, Columbia, SC Religious Leaders Forum, Denver, CO Advisory Board Meeting, Denver, CO -- Race and Stereotyping Religious Leaders Forum, Location  TBD Advisory Board Town Hall Meeting, Chicago, IL Campus/Community Week of Dialogue|||0.952504277|6.49E-08
|||||
D0|May: 19-20 Advisory Board Meeting, San Antonio,  TX -- Immigration TBD   Corporate Leaders/Religious Leaders Meeting with President|||-0.980711937|7.97E-06
|||||
D0|June: 17 -18 Advisory Board Town Hall Meeting , Birmingham, AL|||0.983588696|5.70E-06
|||||
D0|July: TBD Advisory Board Meeting, Charleston, SC -- Administration of Justice|||0.625947416|0.000352622
|||||
D0|August: TBD Advisory Board Town Hall Meeting, Seattle, WA -- Our Future (Youth)|||0.966300011|5.86E-07
|||||
D0|Additional Activities:|||0.9935987|0.053805035
|||||
D0|March 16-17 March 17-20 March 26-29 March 28 TBD TDD University of Mississippi (Dr. Franklin, Gov. Winter) AFL-CIO Executive Council , Las Vegas AFL-CIO Full Participation Conference, Los Angeles Children's Defense Fund Race Town Hall Meeting, Los Angeles American Indian/Alaska Native Town Hall Meetings President's Town Hall Meetings (3)|||0.984666109|5.14E-12
|||||
D0|Immigration   --  Skills of Immigrants: The attached U.S. News article discusses the issue of whether we should change our legal immigration system to strengthen  preferences for skilled and well-educated prospective  immigrants  over those that are poorly educated  and unskilled.|||0.954294682|0.001196358
D0|The current immigration system is set up to favor keeping families intact.|||0.93726635|0.005658878
D0|Thus, the vast number of legal immigrants are brought to this country through family-based visas, which do  not take into account education or skill level.|||-0.998993456|0.23502232
D0|The article cites a Rand  study proposal  to create a point system of immigration which continues to  give  weight  to  immediate  family  reunification but  would  also give points  for education, language  skills, and work experience.|||-0.950692594|0.76556295
D0|The final report of the Commission on Immigration Reform also recommends a shift  in priority toward  higher skilled immigrants.|||-0.737256944|0.001339523
D0|Instead creating a point system, the Commission recommends revising skill-based admissions (approximately 100,000 visas) to favor highly-skilled and educated immigrants and eliminating altogether the category of unskilled workers.|||-0.982948482|0.003349694
D0|Though we think that these ideas are well worth exploring, it is unlikely that Congress will want to consider an overhaul of legal immigration this year.|||-0.966573834|0.9937038
D0|Efforts to reduce legal immigration levels were defeated during consideration of the 1996 illegal immigration law.|||-0.934064806|1.22E-05
|||||
D1|Education -- Single Sex Schools in New York City: DPC has been meeting with the White House Counsel's office, the Education and Justice Departments, to address the OCR response to a complaint against the existence of the all girl's Women's Leadership Academy in New York City.|1||0.969518006|9.01E-06
D1|Both you and Secretary Riley are in complete agreement that, as a matter of policy, school districts should be (encouraged??? free???) to establish single sex schools as part of the mix of education options.|1||0.950479627|0.9335097
D1|The Office of Civil Rights has placed its investigation of the compliant on hold, and will take no steps in the foreseeable future to press New York City to change the status of the school.|1||-0.989940226|9.32E-05
D1|However, civil rights offices in both Education and Justice believe that such schools ultimately may be difficult to justify under Title IX or Article (relevant Constitutional reference), in part because they have discriminatory admissions policies, and partly because separate schools will inevitably become unequal and to the ultimate disadvantage of females.|1||-0.923715413|3.68E-05
D1|They believe that the strongest legal case for permitting single sex schools is an argument that they are an appropriate remedy for past discrimination, such as low academic performance of females in co-educational settings.|1||0.586974144|0.7044363
D1|Neither of the cognizant Civil Rights offices want to take formal action on this issue, because they believe they will be forced to oppose single-sex schools.|1||-0.999092579|0.7952869
|||||
D1|Late in December, Secretary Riley and Rudy Crew agreed to appoint small teams of educators from the Education Department and the NYC Schools to work collaboratively to develop the strongest case for the Women's Leadership Academy.|1||0.964397728|3.04E-11
D1|The teams will begin to plan their work next week.|1||0.99241966|1.56E-05
D1|This process may take some time, and during this period the Education Department's Office of Civil Rights will not take any further actions on this case.|1||-0.997180343|0.04812624
|||||
D1|Health Care-- Robert Reich's Proposal for Fixed Dollars for Health Care:    You asked for an analysis of Robert Reich's proposal to forgo a new increase in the minimum wage and instead require that employers require a certain fixed dollar amount for health care.|1||-0.852508605|0.99991643
D1|As you will recall, we did forgo proposing a minimum wage increase when we proposed the Health Security Act because we did not want to load up the costs to employers.|1||-0.893057227|0.99894863
D1|The idea of having a defined minimum employer contribution certainly has some merit as it would make a significant contribution to decreasing the number of uninsured.|1||-0.866120756|0.9999256
D1|Having said that, there are a number of political and policy issues that have to be seriously considered prior to pursuing such a proposal.|1||-0.927915573|0.11513595
|||||
D1|There are numerous political and administrative complications that would have to be worked out before moving fonvard on such an initiative, such as: (1) whether or not we would be forced to add subsidies for this;|1||-0.942307591|0.078995295
D1|(2) whether employers would be accountable if their employees had coverage from their spouse's employers;|1||-0.81438899|2.56E-07
D1|or (3) whether certain employers would be exempt.|1||-0.758258164|9.50E-05
|||||
D1|Having said this, if you would like to further pursue this you should be aware that of some of the disadvantages.|1||0.848766744|0.9956756
D1|"We will have to use a great deal of capital with the employer community as we move forward on our other current health care policies such as health care quality and the COBRA extension for the ""promise breaker'' employees who have dropped retiree health care coverage."|1||-0.988729417|0.6388011
D1|Adding this proposal to the mix would no doubt create a great deal of public animosity from the employer community.|1||0.813843071|0.97462034
D1|"Moreover, in a Republican Congress there is no chance that this would pass and it would likely be characterized as another step to ""take over the health care system."""|1||-0.989677429|0.9183137
D1|Although liberal Democrats would be comfortable with this proposal, our centrist Democrats would not support it, primarily because of the opposition from the small business community.|1||-0.997479498|0.9959383
|||||
D1|Health Care -- Medicare HMOs Dropping Benefits: You asked us to respond to recent reports that Medicare lIMOs were dropping benefits because of changes in Medicare reimbursement policies.|1||-0.976244926|0.99998796
D1|We have asked HI-IS to review the extent to which this is occurring.|1||-0.991835237|0.98406905
D1|However, it is important to note that many independent policy experts believe that payments to HMOs still are, on average, excessive given the fact that they continue to attract disproportionately healthy populations.|1||-0.967582107|0.99741924
D1|They believe that any movement towards reducing 2 benefits are more attributable to HMO ' s desire for adequate profit margins for their investors rather than adjustments in reimbursement issue.|1||-0.988248169|0.9463474
D1|In fact, one corporate executive just informed us that Medicare continues to be their number one most profitable player.|1||-0.845475376|0.21786223
D1|Having said that, the fact that the BBA is starting to reduce Medicare reimbursements to HMOs will clearly contribute to lower revenues for these health plans.|1||-0.997054458|0.96645355
D1|It is important to note that the added benefits in Medicare HMO plans do help encourage beneficiaries to participate in these plans.|1||0.982626617|0.45341372
D1|The outstanding question is whether or not we want to allow payment rates to exceed what is necessary so as to ensure that these additional benefits are in place.|1||0.664503634|0.9997112
D1|Regardless , any move in this direction would be premature until we have better information about the extent to which HMOs are reducing benefits and the reasons behind such a trend.|1||0.598649204|0.9992914
|||||
D0|Q&A for Food Safety January 12, 1998|||-0.770640254|0.000215327
|||||
D0|Q:  What steps will the Clinton Administration take to improve food safety?|||-0.995964885|0.69455886
|||||
D0|A:  Last year we were able to increase spending on food safety by approximately $40 mil li on.|||-0.75127089|0.17942551
D0|This year, our budget will seek an even more substantial increase in resources to improve food safety.|||-0.97327143|0.763375
D0|The resources will go to a variety of initiatives, including: implementing our aggressive fresh produce plan to hire FDA inspectors to improve the safety of our nation's fruits and vegetables , both domestic and imported;|||0.985675633|0.0114388
D0|increasing the risk assessment on beef, chicken and pork to better determine the source of the greatest risk of contamination;|||-0.909335971|0.20373967
D0|developing more tests for meat and poultry for federal inspectors and others to detect food-borne illnesses ;|||0.894741714|0.000162539
D0|improve educational outreach on proper food handling; and expanding CDC's surveillance activities for food-borne illnesses.|||0.732765198|0.04932666
|||||
D0|Q:  Why is your Administration proposing these actions?|||-0.997207105|0.9429212
|||||
D0|A:  We have the ability to help Americans stay healthier and increase their confidence in the safety  of the food they eat.|||0.998687565|0.11326027
