<label>|<Sentence Text>|<Always deliberative>|<Non-IIA>|<Sentiment>|<Subjectivity>
D1|HCFA said that they would discuss this option with their Office of General Counsel and notify us if they had any legal concerns|1||-0.980287015|0.001801051
D1|If not, HCFA will send over the All States Letter for OMB clearance|||-0.984633088|0.83060884
D1|HCFA mentioned that they would like to distribute one All States Letter that would include both the medically needy policy and the delay regulation.|1||-0.998756289|0.98902965
|||||
D1|3) Delay Regulation -- We communicated to HCFA that you approved of announcing HCFA's intention to promulgate this regulation, since the NPRM process could delay the impact of qualified aliens losing SSI|||-0.992325425|0.9987233
D1|HCFA wants to send out on All States Letter to the Medicaid Directors announcing this policy and to advise that States could retain Medicaid coverage for SSI recipients in the meantime.|1||-0.931654215|0.5566655
|||||
D1|First, we will schedule a meeting early next week with HCFA, OIRA, and the Health Division to discuss this regulation|||-0.859362602|0.000982261
D1|Second, HCFA will send over the All States Letter for OMB clearance|||-0.996830642|0.16431075
D1|This letter will include both the medically needy policy and the announcement of HCFA's intention to promulgate the delay regulation.|||-0.956888914|0.9752745
|||||
D1|We also noted to HCFA that these policies should be handled administratively with little publicity|||-0.998910427|0.9981925
D1|HCFA agreed|||0.976490498|0.5410584
D1|To ensure a consolidated process, OMB policy officials need to coordinate with other EXOP officials in order to convey that these policies should be handled with minimal publicity.|1||-0.782957017|0.9044557
|||||
D1|Latest status: We, especially OMB, are considering whether to do HHS's administrative fix to the bucket|1||0.816095173|0.9998012
D1|It is not the advocatesâ€™ full fix, but a 2-part regulatory fix HHS devised: a temporary delay for everyone, which will help all states with a bucket problem; and a new policy on how states define â€œmedically needyâ€ Medicaid programs, which will permanently help some states with a bucket problem|||-0.932960272|0.97778475
D1|Between the 2 parts, it will fix a decent portion of the bucket, but not all|1||-0.997817874|0.99390703
D1|(I will try to get a sense of how much.)|||-0.751677155|0.776124
|||||
D1|Nancy-Ann's first take is that Raines needs to decide whether HCFA must come up with an offset to the $1.9 billion cost|1||-0.941351354|0.9980203
D1|Ken and I have pointed out that we fixed a lot of the bucket in our welfare legistative fix package, in our proposal to exempt the disabled from SSI/Medicaid cuts|1||0.998598516|0.9988123
D1|So theoretically we have already paid for a lot of this, and we're just transferring it from a legislative fix to an administrative fix|1||-0.999816239|0.99652714
D1|OMB is trying to scope out the overlap and numbers as they write a memo to Raines.|1||-0.976836979|0.9707069
|||||
D1|l am assuming we would agree with HHS's approach|1||-0.980871558|0.99997425
D1|I think we exhausted the advocatesâ€™ approach|1||-0.999071717|0.9879913
D1|And it will do good things for people and it's fully or largely paid for|1||0.987127662|0.51567113
D1|I should note that it could take a bit of the steam out of our legal immigrant fix package, since the most compelling cases of legal immigrants in nursing homes would then be temporarily addressed|1||0.709669173|0.8421005
D1|I think the only exception to that would be in states that affirmatively decide not to extend Medicaid to legals, and i'm not sure there are any such states at this time.|1||0.896008968|0.9999385
|||||
D1|Option of total administrative fix off the table, unless COLO)sees something new.|||-0.999125898|0.9980743
|||||
D1|- Budget's welfare legislative fix package includes partial fix for the bucket: exempt disabled legal immigrants from SSI cuts|||0.547672212|0.95487106
D1|This leaves out the elderly.|||0.933014452|0.019308092
|||||
D1|"- HHS's best admin fix thinking had 2 parts: -across the board 1 year delay; and -""medically needyâ€ reg that will help some states."|||0.680586874|0.07395616
|||||
D1|Neither of these last 2 are in the budget so, if we want to go ahead with them, we can't talk about them Till the budget's beÃ©n out for a while|1||-0.996439517|0.9988864
D1|But we could theoretically tell the groups whe the budge is released that we continue to ponder the question of admin fixes.|1||-0.508960962|0.9819062
|||||
D1|The OMB director has apparently at last opined on the â€œbucketâ€ issue -- i.e., whether there is an administrative way to allow more people losing SSI to keep Medicaid.|1||-0.953353703|0.98350096
|||||
D1|Raines endorsed HHS's partial fix, which we've also been pushing|1||-0.627888322|0.99784076
D1|"(HHS rejected on legal grounds the advocatesâ€™ argument that we could do a total fix, where no one would lose Medicaid as a result of losing SSI.) This partial fix would create a temporary ""bucket"" for everyone losing SSI (for a year, I think)"|1||-0.883524299|0.97744113
D1|And it would beef up what is included in a â€œmedically needyâ€ program in a way that would help a group of states.|1||0.90813899|0.000944972
|||||
D1|The effect of this will be to convert part of our fix package from legislative to administrative|1||0.529262125|0.7182517
D1|It also means health providers will be less interested in our package.|||-0.999788105|0.92705566
|||||
D1|OMB doesn't think we should announce anything in the next week or two, because CBO is doing some baseline reestimate.|1||-0.998691618|0.9999373
|||||
D1|While we have never been certain that this confusing issue could be packaged into some kind of I announcement or event, OMB would apparently oppose making a big deal about this publicly|1||-0.998928607|0.99989486
D1|They are nervous that we'll be criticized|1||-0.929436445|0.044357363
D1|Not sure this makes sense.|1||-0.99935025|0.9928893
|||||
D1|This should NOT be announced or alluded to in our legal immigration briefing tomorrow.|1||-0.998169184|0.56681234
|||||
D1|There will be a staff level discussion within a few days on whether we should have an Administration bill on Superfund|1||-0.992978036|0.387563
D1|Superfund reauthorization remains a priority for the majority in the Congress, and we will need to decide the Administration strategy soon|1||0.928676248|0.22403838
D1|CEQ is contemplating calling a principal's meeting early next week.|||-0.998801827|0.24540477
|||||
D1|This note is to ask your engagement on the process and to quickly summarize the options for strategy and my recommendation.|1||0.857811391|0.83504736
|||||
D1|With regard to the process, I believe that any principal's meeting on this should be jointly convened mol by CEQ and NEC|1||0.738971531|0.5188523
D1|Economic issues are some of the driving issues here|1||0.853551626|0.14546473
D1|A jointly convened setting to send an important message of balance on this issue|1||0.995793819|0.8180001
D1|I plan to make this argument at the staff level|1||0.992364407|0.9407705
D1|I suggest that you mention this to Gene Sperling.|1||0.993335962|0.98230606
|||||
D1|The strategy options are three:|||0.748966813|0.816559
|||||
D1|A) Prepare Administration principles, but allow agency assistance to both majority and minority staff to improve/prepare their bills|||0.770993471|0.000513559
D1|(There is a republican bill, there is as yet no dem alternative.) [It would need to be absolutely clear that assistance does not guarantee Administration endorsement|1||-0.994468331|0.9999995
D1|EPA is likely to support this view.|1||0.592655301|0.83767974
|||||
D1|B) Prepare a narrow Administration bill|||-0.986159027|0.1142268
D1|This approach would send three key signals: (1) we are serious about reform,|1||-0.851007462|0.9106126
D1|(2) all Departments will have a voice,|1||0.99924916|0.013986947
D1|(3) we will only support moderate changes|1||-0.997618496|0.45191798
D1|CEQ is leaning slightly towards this view.|1||-0.978280306|0.99676573
|||||
D1|C) Prepare a broad Administration bill|||0.895376146|0.3585864
D1|This approach would likely provide the most comfort to DOE and DOD because they will see this as a potentially disciplining process for the other Agencies|1||-0.603170991|0.9905714
D1|DOJ (Lois Schiffer) would vehemently oppose this approach.|1||-0.966198087|0.08390791
|||||
D1|I recommend that we initially support option A|1||-0.963479698|0.95060414
D1|In my view, the key supporting reasons are: 1) An Administration process to come up with a bill will be extremely contentious and will distract from our effectiveness on the Hill|1||-0.88760972|0.358152
D1|2) If we genuinely want a bill we will need to negotiate with the majority and there is no particular advantage to having spent months coming up with our own bill fist|1||-0.999116361|0.99803513
D1|3) Principles that set a high standard, will provide guidance to negotiations and will provide thetorical cover to strengthen our hand in the negotiations.|1||0.999387264|0.16191188
|||||
D1|The key weaknesses in this approach are: 1) Some departments will be unhappy enough to undertake their own discreet Hill efforts|1||-0.982744157|0.9269012
D1|I discount this concern because no matter what we do, departments will let their views be known to the Hill|1||-0.955471277|0.8542377
D1|While this adds a measure of chaos, which will likely create some interagency friction, I don't believe it is particularly damaging to the Administration as a whole|1||-0.630725801|0.9942345
D1|2) We need to get key minority Representatives on board first, some of whom definitely do not want a bill to pass|1||-0.822010815|0.9862169
D1|3) Environmentalists are likely to end up more critical of a bill that passes|1||-0.997456253|0.8969304
D1|4) The Administration could be accused of not exercising leadership on this issue|1||-0.986235201|0.56336594
D1|My response would be that our leadership is in Brownfields and in the Administrative reforms.|1||-0.922191501|0.65996665
|||||
D0|Please let me know if you have concerns about my recommended approach.|||0.502518177|0.99587786
|||||
D0|As the President said in his State of the Union address, we can be proud that after decades of finger-pointing and failure, we are now replacing welfare checks with paychecks|||-0.645017147|0.8864952
D0|Welfare caseloads have fallen another 2.4 million in the first 13 months of the new welfare reform law, a decline of 4.3 million, or 30 percent, since President Clinton took office|||-0.999355972|3.13E-06
D0|The Presidentâ€™s 1999 budget will build on this success, providing several targeted new tools to help even more people move from welfare to work, while restoring certain food stamp cuts which had nothing to do with welfare reform.|||0.981486619|0.59831846
|||||
D0|Welfare to Work Housing Vouchers|||0.934807062|0.68954885
D0|The President's FY99 budget will take further steps to promote work and welfare reform through a new $283 million plan to provide 50,000 new housing vouchers to welfare recipients who need housing assistance in order to get or keep a job|||-0.50017029|0.92646974
D0|Families could use these housing vouchers to move closer to a new job, to reduce a long commute, or to secure more stable housing to eliminate emergencies that keep them from getting to work every day on time|||0.824571013|0.36284837
D0|These vouchers, awarded to communities on a competitive basis, will give people on welfare a new tool to make the transition to a job and succeed in the work place|||0.994929969|0.007833235
|||||
D0|Welfare to Work Transportation|||0.975478768|0.005753418
D0|One of the biggest barriers facing people who move from welfare to work -- in cities and in rural areas -- is finding transportation to get to jobs, training programs, and child care centers|||-0.565460443|1.18E-05
D0|Few welfare recipients own cars|||0.835255504|0.01713042
D0|Existing mass transit does not provide adequate links to many suburban jobs at all, or within a reasonable commute time|||-0.996495426|0.000240849
D0|In addition, many entry level jobs require evening or weekend hours that are poorly served by existing transit routes|||-0.553407669|0.000220948
D0|To help welfare recipients and other low income workers get to where the jobs are, President Clinton has proposed a $100 million a year welfare to work transportation plan as part of his ISTEA reauthorization bill|||-0.962357521|2.54E-06
D0|This competitive grant program would assist states and localities in developing flexible transportation alternatives, such as van services.|||0.998688042|0.01993085
|||||
D0|Tax Credits for Employers|||0.952457786|0.8203103
D0|The Presidentâ€™s budget proposal extends two important tax credits for employers for an additional year|||0.650275886|0.9476168
D0|The Welfare to Work Tax Credit, enacted in the 1997 Balanced Budget Act, provides a credit equal to 35 percent of the first $10,000 in wages in the first year of employment, and 50 percent of the first $10,000 in wages in the second year, to encourage the hiring and retention of long term welfare recipients|||0.818633974|0.21374232
D0|The budget also extends the Work Opportunity Tax Credit, which provides a credit of up to $2,400 for the first year of wages for eight groups of job seekers.|||0.981510282|0.22589566
|||||
D0|Food Stamps for Legal Immigrants: The President believes that legal immigrants should have the same opportunity, and bear the same responsibility, as other members of society|||0.929340363|6.76E-05
D0|To that end, the Presidentâ€™s 1999 budget proposes to restore Food Stamp benefits for vulnerable groups of legal immigrants|||-0.621854842|0.000661043
D0|The Presidentâ€™s proposals would provide Food Stamp benefits to 730,000 legal immigrants in 1999 at,a cost of $2.5 billion over 5 years|||0.933569789|0.05057222
D0|Specifically, benefits would be restored for: all families with children, immigrants with disabilities and elderly immigrants age 65 and older who entered the U.S before welfare reform was enacted, on the same basis as the SSI and Medicaid restorations in the 1997 Balanced Budget Act;|||0.981017351|1.31E-07
D0|refugees and asylees, whose eligibility would be extended from 5 to 7 years; Hmong immigrants who came to the U.S after the Vietnam war; and certain Native Americans living along the Canadian and Mexican borders.|||-0.691076338|1.47E-11
|||||
D0|* Immigrant benefit restorations Consistent with the agreement, restore $9.7 billion in benefits for all legal immigrants who are or become disabled after 8/22/96|||0.993516922|0.013242335
|||||
D0|Food Stamps * Invest $1.5 billion to restore benefits and create 350,000 work slots for 18-50s; include performance standards and target all funds to 18-50s|||0.851658583|0.45943278
|||||
D0|Welfare to Work * Invest $3 billion, with a significant share provided directly to cities with large poverty populations|||0.925606608|0.008894285
|||||
D0|Ways and Means: Restores benefits for current beneficiaries, including the elderly, but not for new applicants (those who were in the country prior to 8/22/96 and became disabled after that date)|||0.641672611|3.22E-06
|||||
D0|Agriculture: Spends $1.5 billion to create about 190,000 work slots; does not include performance standards and has lower requirement than in Administration policy to target funds to 18-50s|||-0.89677918|0.9999708
|||||
D0|Ways and Means: Invests $3 billion split 50/50 between formula and competitive grants, with an acceptable share of funds to urban areas through JTPA system (PICs)|||0.997131824|0.7651016
|||||
D0|Education and Workforce: invests $3 billion split 95/5 between formula and competitive grants, with somewhat smaller share to cities; funds flow through JTPA system|||0.99146539|0.80713236
|||||
D0|Finance: Similar to Ways and Means, but restores benefits for new applicants who become disabled prior to August 1997 (date is in flux).|||0.997801244|0.005440059
|||||
D0|Agriculture: Spends $1.5 billion to create 250,000 slots; includes acceptable performance standards but only 75% of funds are targeted to 18-50s (vs 100% in Administration policy)|||-0.988710344|0.9991716
|||||
D0|Finance: Invests $3 billion split 75/25 between formula and competitive grants; funds flow through TANF instead of mayors, which the Administration opposes|||-0.690390408|0.7664874
|||||
D0|Minimum Wage Supports minimum wage for welfare recipients in workfare|||0.770866334|0.98363423
|||||
D0|Student loans|||0.717880905|0.024006573
D0|Opposes House and Senate proposal|||-0.987840474|0.027645247
|||||
D0|* Privatization Opposes any privatization of determination of eligibility functions|||-0.958987713|0.9344294
|||||
D0|SSI Maintenance of Effort (MOE) Opposes repeal of MOE requirement|||-0.889805853|0.25408664
|||||
D0|Ways and Means\Education and Workforce: Denies minimum wage by allowing States to either reduce hours of work requirements or by counting Medicaid/child care/housing/etc as income for calculating minimum wage|||-0.994571865|5.77E-05
|||||
D0|Education and Workforce: Establishes separate entitlement to pay the administrative costs of guaranty agencies; currently, annual funding is determined by the Sec'y of Education|||0.996418834|0.000523681
|||||
D0|Commerce: Allows all States to privatize Medicaid eligibility determinations|||0.988265038|0.58009344
|||||
D0|Agriculture: Allows all States to privatize Food Stamps eligibility determinations|||0.967011273|0.9170076
|||||
D0|Ways and Means: Repeals MOE requirement|||0.859541953|0.067909166
|||||
D0|Finance: Not in the draft mark; may be introduced during markup|||-0.997656822|0.8189343
|||||
D0|Labor/Human Resources: Same as House|||0.999218822|0.004057054
|||||
D0|Finance: Allows ten States to privatize eligibility functions for all health and human services programs (including Medicaid, Food Stamps, WIC); approves TX waiver|||0.983496428|0.00015136
|||||
D0|Finance: / Does not repeal MOE requirement|||-0.998452187|0.42375916
|||||
D0|We continue to work on clarifying the intent of the Family Violence Option and making it a useful tool for the states to help families escape violence and poverty in a meaningful way||1|0.996242046|0.19366866
D0|As you may know, a Sense of Congress on Family Violence Option Clarifying Amendment is included in the House Budget Resolution working its way through Congress||1|0.929408014|0.91996753
D0|This amendment delineates the intent of Congress when passing the Family Violence Option as part of last yearâ€™s welfare bill||1|-0.790633798|0.20738596
D0|Although the Budget Resolution is not a binding piece of legislation, it shows bipartisan support for the FVO in the broadest sense, and we believe it should be sufficient to instruct the Administration in its regulatory process and in its communications to the states.||1|0.978350282|0.99993944
|||||
D0|In addition to the language in the Budget Resolution, Senators Wellstone (D-MN) and Murray (D-WA) have introduced 8 671, and Representative Roybal-Allard (D-CA) stands poised to introduce similar legislation in the House||1|0.589559138|0.001026113
D0|If the clarification set forth in the Budget Resolution is insufficient to promote proper interpretation by HHS as it promulgates regulations, we are asking for the Administrationâ€™s support for this bill which will clarify Congressional intent about the Family Violence Option and give states clear guidance as they implement their welfare plans.||1|-0.988607883|0.9996092
|||||
D0|In light of the additional research and data about the occurrence of violence in the lives of welfare families, we believe it is essential that the states have all the guidance and support that they need to address this problem and craft workable solutions||1|0.990307093|0.95349556
D0|Currently, many states are hesitant to elect the FVO for fear of economic sanctions||1|-0.626101196|0.67437166
D0|Ifthe imprecise wording of the Family Violence Option in last yearâ€™s welfare bill is the stumbling block to a lucid interpretation of this option, then the answer is this Congressional technical clarification||1|-0.796063602|0.9998884
D0|It is imperative that this Administration, with its reputation as a friend to battered women, step forward and support this clarification||1|0.827865243|0.8427307
D0|We hope that you will look favorably upon our request for your support of S 671 and use the powers of your office to secure this endorsement.||1|0.952258706|0.99981326
|||||
D0|Many of you already have some or all of the enclosed materials, but we wanted to make sure they were in your hands as the discussions between Administration officials, Congress, the states and advocates continue||1|0.987711847|0.24130987
D0|Enclosures include:||1|0.97959137|0.03026442
|||||
D0|new research done by the Taylor Institute and the University of Michigan A new, in-depth study, Trapped by Poverty, Trapped by Abuse: New Evidence Documenting the Relationship Between Domestic Violence and Welfare, conducted by the Taylor Institute and the University of Michigan which demonstrates the definitive correlation between domestic violence and welfare has recently been released.||1|0.989244819|4.43E-08
|||||
D0|a Washington Post article about the ongoing Better Homes Fund study in Massachusetts||1|-0.985793531|0.01834679
|||||
D0|FVO clarification legislation, and relevant material Senator Paul Wellstone (D-MN) and Senator Patty Murray (D-WA), original co-sponsors of the FVO, introduced a bill, S 671, on April 30 to clarify that the FVO waivers are separate from the 20% hardship exemption and that states will not be penalized for going over the 20% to waive domestic violence victims||1|-0.858639896|7.22E-05
D0|The bill is only a technical clarification, but it could encourage more states to take the FVO.||1|-0.501730561|0.8978493
|||||
D0|An article on FVO interpretation and implementation by Martha Davis, NOW LDEF and Wendy Pollack, Poverty Law Project in the Clearinghouse Review: Journal of Poverty Law.||1|0.686408281|0.043783877
|||||
D0|NOW LDEFâ€™s suggestions on proposed HHS regulations||1|0.969636679|0.97722834
|||||
D0|I look forward to hearing from you on this in the near future.||1|0.996070385|0.957636
|||||
D0|Peter D Hart Research Associates has just completed a national voter survey that includes two questions measuring support for extending minimum wage and other workplace legal protections to welfare recipients in workfare programs||1|-0.847654879|0.002332109
D0|The survey was conducted by telephone June 6 through 9 among a representative sample of 800 registered voters who participated in the 1996 elections||1|-0.826025188|1.79E-08
D0|The margin of error on these results is +/-4%.||1|-0.782110691|0.9414361
|||||
D0|Strong voter support for minimum wage coverage||1|0.947463512|0.34652194
D0|The survey results reveal that American voters strongly believe that minimum wage laws and other basic legal workplace protections should apply to those in state workfare programs||1|-0.782398164|0.2655794
D0|The survey question reads as follows:||1|-0.996474922|0.26237503
|||||
D0|AS you May know, Congress passed a law last year requiring able bodied welfare recipients to work in state workfare programs||1|0.580500603|0.98375285
D0|Do you believe that the people who are required to work in these workfare programs should be covered by basic legal protections including the minimum wage law, or do you believe that the states should not have to pay the minimum wage to welfare recipients in workfare pragrams?||1|-0.997316658|0.9898084
|||||
D0|Fully 69% agree that workfare participants should be covered, while just 25% believe that states should not have to pay participants the minimum wage.||1|-0.952705264|0.9810659
|||||
D0|We would note that workfare participants are clearly identified in this question wording (fwice) as still being â€œwelfare recipients.â€ making the strong favorable response that much more impressive (and meaningful)||1|0.970796824|0.9997596
D0|The breadth of support for minimum wage coverage is also striking, including two-thirds of those with incomes over $50,000 (67%), professionals (67%), and white voters (67%)||1|0.613489151|0.48159292
D0|Even college-educated men 71%) and Republican voters (62%) favor minimum wage coverage by large margins.||1|0.657647908|0.97710913
|||||
D0|Wage impact argument for coverage is strong||1|-0.560307384|0.9980076
D0|Votersâ€™ initial suppor for coverage doubtless arises from a fundamental sense of faimess||1|-0.979734719|0.99831855
D0|Since other workers receive this protection, they reason, why shouldn't workfare participants in similar jobs?||1|0.926242113|0.001816418
|||||
D0|The survey tested the appeal of this argument for coverage against a powerful opposition case that focuses on the cost of coverage to taxpayers, and finds the wage impact argument prevails by a decisive two to one margin.||1|0.864030778|0.9959194
D0|However, organized labor has another, less immediately obvious reason for believing that coverage is needed â€” namely, the corrosive effect that sub-minimum-wage workfare programs could have on the jobs and wages of low-wage workers outside of workiare programs||1|-0.851506948|0.92377657
D0|Supporters of paying the minimurn wage to people in warkfare programs say that many employees who currently work at the minimum wage would lose their jobs if workfare participants could be forced to work for less, and also say that exernpting one group of workers from minimum wage protections opens the door to undermining the minimum wage for others (59% agree.)||1|-0.9834342|1.04E-05
|||||
D0|Opponents of paying the minimum wage to people in workfare programs say that the taxpayers would have to support higher welfare budgets if states are forced to pay the minimum wage, and also say that welfare recipients who want better pay should get off welfare and find a job on their own (21% agree.)||1|-0.998331606|0.9727975
|||||
D0|Update: Finance Committee Markup Possible Amendments: Conrad: Strike Privatization Kerrey: Limit Privatization Jeffords: Welfare to Work to DOL and PICs Jeffords: Training as allowable use for welfare to work funds Moseley-Braun: Reserve 50% of Competitive Grant for 100 Cities Moseley-Braun: Strike Performance Bonus Moseley-Braun: Remove Teen Parents in School from Voc Ed Limit Rockefeller: Stronger anti-displacement language|||-0.54547137|0.9990514
|||||
D0|Legal Immigrants: Thursday Vice President Event|||0.987296939|5.67E-05
|||||
D0|Child Support Enforcement - Next Week POTUS letter to Hill with HHS report, Treasury Stats Urge Passage of DOJ/Kohl/Dewine amendment in Juvenile Justice markup Leak to USA Today (Information, not Letter to Congress)|||-0.997937977|0.001622845
|||||
D0|1V Welfare to Work: How to Highlight our Success in $3 Billion US Conference of Mayors Speech Other Event/Media?|||-0.84031415|0.87299645
|||||
D0|V Minimum Wage for Workfare Reed/Sperling Letter to Hill Reed/Sperling Op-Ed (Response to Offner) Memo to POTUS on end game Events?|||-0.992464662|0.010011435
|||||
D0|Vi OLC Welfare to Work Conference Before August 22 Piggy-Back National Conference of State Legislators Aug 6-10?|||-0.999601781|4.75E-05
|||||
D0|Diana got a somewhat mysterious call from Ann Lewisâ€™ office last night inviting us to a meeting which I attended today|||-0.582560122|0.000109598
D0|It turned out to be a small meeting (Ann, Eli Attie, Jen Palmieri) on the Welfare to Work Partnership proposal for a one-year anniversary event.|||-0.899496317|2.47E-05
|||||
D1|They like the idea Eli pitched in his memo to the President to have him go to a city with a significant number of companies pledging to hire welfare recipients|1||0.915724993|0.005618145
D1|However, they expect the President to be on vacation and unavailable on August 22nd|||-0.976896346|0.000161692
D1|Moreover, in order to frame the one year anniversary stories for the press, Ann thinks it's best to do an event 7-10 days before the anniversary anyway|1||-0.981846869|0.029410517
D1|Scheduling recommends either August 14 or 15th and Eli has recommended the following cities: St Louis, Indianapolis, Columbus, and Baltimore|1||0.995264173|4.13E-06
D1|(Second tier choices would be Portland, Denver, Los Angeles, Chicago, New York, Atlanta)|||-0.943520546|4.42E-07
D1|At first glance, Ann thought St Louis would be the best.|1||-0.579432726|0.000876746
|||||
D1|Nye do the Eli event on the 14th or 15th, perhaps we release a one-year report on the bill at the hite House on the 22nd, as you suggested Bruce|1||-0.957209408|0.7906911
D1|I'll start looking into options ASAP.|1||0.902955294|0.6204949
|||||
D1|I used the opportunity to pitch our other ideas as well|1||0.984967172|0.68601656
D1|Ann suggested that Tuesday would be the best day next week to release the letter from the President to Congress on child support, since it's a down day with no other message currently scheduled|1||-0.973102629|7.07E-06
D1|It's likely that timing will coincide well with the juvenile justice mark up|1||0.980435252|0.6320151
D1|I'll work with DOJ, Treasury, and HHS to coordinate.|||0.988176346|0.49747372
|||||
D1|There was also a 1ot of support for having the President announce the new.caseload numbers (which should show we're down 3 million since Jan '93) which hopefully will be ready around the, first week in July and perhaps combine it with the child care reg lf we don't use that for an immunization event|||-0.998975873|0.02291144
D1|There are a couple of non-message event days before he goes to Spain (July 3, 4) where he could make a brief statement on the new numbers or at the top of another event July 2|1||-0.99927026|1.88E-09
D1|Should we push for a Radio Address? (Since the President will be in Madrid that week, we're likely to be bumped by NSC.) If the numbers aren't ready by the 4th, we could them until he gets back on the July 21st and do something then.|1||-0.998217404|0.64513344
|||||
D1|There was less interest in the DLC conference|1||-0.998503089|0.95779085
D1|DLC had proposed holding a welfare to work conference either in D.C sometime before Aug 22nd or in Philadelphia during the National Conference of State Legislators gathering Aug 6-10th|||-0.972701192|1.22E-05
D1|Communications/scheduling preferred the idea of having the President speak to the NCSL conference by satellite because the travel budget is too tight for him to attend, and because they thought it accomplished more than the DLC conference could|1||-0.985740364|0.7513159
D1|Scheduling has regretted the NCSL request already, but Intergovernmental and Scheduling are supportive of revisiting it as a satellite|1||-0.664868951|0.99978465
D1|DLC still wants the President to lead a roundtable discussion on welfare to work, which I think he would enjoy, so they proposed to Christa perhaps having that panel here at the White House and satellite the President's opening remarks to Philadelphia|1||-0.909967005|0.8126022
D1|What doâ€˜you think? We could develop this idea further for the weekly to get some direction from POTUS.|1||-0.981719315|0.9975495
|||||
D1|Thus, this schedule could look something like: June 24th - child support release July 2-4th - release new caseload numbers Aug 6-7th - welfare to work roundtable - DLC and/or NCSL Aug 14-15th - Welfare to Work Partnership event in city with companies Aug 22nd - release some kind of report on the actual anniversary|||-0.856614411|0.8727553
|||||
D0|"""WASHINGTON ~ Just beyond the unusual bipartisan harmony here over Federal welfare overhaul lies a more familiar â€˜Spectacle: one of political brawling over â€œhow that legislation will be implemented in â€œthe states"""||1|-0.811014354|0.9133598
|||||
D0|â€œIn Texas, state:officials fume that the *-Clinton administration has surrendered to â€™ pressure â€˜from labor unions in blocking administer welfare, food stamps and Medcaid'||1|-0.988524139|0.6993792
D0|In neighboring New Mexico, Demo â€œcratic leaders may sue to stop the Repubican governor from unilaterally implementing his welfare plan after he vetoed the â€˜legislature's version 4||1|-0.996496379|2.09E-06
|||||
D0|The political conservatives, who favor the the trend actually embrace the varied State-level disputes as evidence that it will yield policies niore closely suited to the heeds of different regions||1|-0.602328181|0.9959265
|||||
D0|â€œItâ€™s a statement in favor of federalism,â€ says Douglas Besharov, a welfare â€˜scholar at the American Enterprise Institute||1|0.896374345|0.21806219
D0|â€œThat was the whole idea States are not going to move in lockstep.â€||1|-0.999073029|0.9520386
|||||
D0|"But the lingering political hang-ups also mean that, nine months after President Clinton signed the federal law, a big chunk of the nationâ€™s welfare recipients ""Still don't know what their benefits or rules will be"""||1|-0.989552736|0.5453762
|||||
D0|â€˜War of Public Opinionâ€™||1|-0.96293962|0.47317764
|||||
D0|In California, Republican Gov Pete Wilson's plan would force new recipients to leave the rolls after one year and would require beneficiaries to participate in work activities as long as their children are at least 12 weeks old||1|-0.962526917|1.94E-08
D0|â€œWe have won the war of public opinionâ€ says Eloise Anderson, Mr Wilson's Social Services director.||1|-0.651008785|0.56121504
|||||
